stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,8.17,4.09,53.12,4.09,0,0,0,0,0,20.43,0,73.56,0,0,12.26,424.99,0,0,8.17,0,0,0,0,8.17,0,0
72hpf,4.28,0,0,0,0,0,0,0,0,4.28,0,7.49,0,0,11.77,12.84,0,0,4.28,0,0,1.07,1.07,0,0,0
21Day,0,0,0,0,1.34,0,0,0,0,1.34,0,5.35,0,0,0,4.02,0,0,4.02,1.34,0,2.68,0,1.34,0,0
3Month,0,0,1.6,0,0,0.32,0.32,1.6,0.96,0.64,0.96,0.64,0.32,0.32,0,0.32,0.64,0,0,0,0.64,0,0,0,1.28,0.96
22Month,0,0,0,0,0,0,0.55,1.09,0.55,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0
