stage,Cardiomyocyte,Epithelial_cell,Immune_progenitor_cell,Keratinocyte,Macrophage,Neural_progenitor_cell
24hpf,0,12.26,0,0,8.17,20.43
72hpf,1.07,0,0,0,0,0
21Day,0,0,1.34,1.34,0,0
