stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,1.34,0,0,0,0
3Month,0.32,0.32,3.52,0.32,0.32,0.64,0.64,0,3.52,0.32,0,0.64,0.96,0.64,0,0.64,0,0.32,0.96,0.32,0.32,0,0,0.32,0.32,0
22Month,2.19,0,2.73,0,0,0.55,0.55,0.55,8.75,1.09,1.09,1.64,0,0.55,0.55,0.55,0.55,0,0.55,0,1.64,0.55,0.55,0,0,1.64
