stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,3.21,0,0,0,0,0,17.12,0,0,0,0,0,0,2.14,20.33,3.21,0,0,0,0,4.28,0,0,1.07,9.63,0,0,0,0,1.07,0,0,0
21Day,5.35,1.34,2.68,54.88,1.34,2.68,0,1.34,0,91.02,0,5.35,33.46,77.63,0,1.34,10.71,129.84,9.37,0,0,1.34,0,8.03,4.02,0,0,6.69,6.69,0,0,1.34,0,0,0,17.4
3Month,1.28,4.8,5.12,138.86,0,0,6.72,3.84,58.87,1465.37,0,50.55,1126.54,62.07,24,9.28,27.2,554.79,20.8,5.12,1.28,15.68,4.8,2.88,0.96,2.88,1.92,0.64,17.28,3.52,25.6,1.92,0.32,9.6,16.32,56.63
22Month,1.64,6.56,8.75,47.56,0.55,0,18.59,3.28,23.51,2040.66,2.19,72.71,403.98,83.64,10.39,1.09,14.21,556.49,21.87,0,3.28,6.56,0,2.19,0,1.09,4.92,1.09,3.83,0,5.47,1.64,1.09,0.55,0,17.49
