stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,4.09,4.09,0,16.35,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,4.09,16.35,93.99,0,0,0,12.26,0,0,0,0,0,12.26,0,0
72hpf,2.14,7.49,0,2.14,4.28,1.07,0,1.07,0,0,0,0,0,0,0,3.21,7.49,2.14,9.63,0,6.42,0,1.07,32.09,33.16,0,1.07,0,27.81,1.07,0,0,16.05,0,3.21,0,0
21Day,5.35,5.35,0,26.77,1.34,8.03,0,0,2.68,0,0,13.39,0,5.35,1.34,0,5.35,6.69,33.46,0,0,8.03,0,29.45,16.06,2.68,4.02,0,16.06,9.37,0,1.34,16.06,1.34,5.35,0,12.05
3Month,0,8.32,0.64,16,0,0,0,0,14.4,3.2,0.32,293.07,7.68,0.96,8.32,2.56,8,14.4,16.64,1.6,0.64,1.28,6.4,0,0,2.24,0.32,0,0.96,3.2,0.32,1.6,0.64,0,0.64,24,8.96
22Month,1.09,30.07,0,13.12,0.55,0,1.64,0.55,6.01,10.39,2.73,293.55,3.83,0,2.73,1.09,4.37,21.87,17.49,0,10.93,2.73,0,0.55,0,4.37,0.55,1.09,0.55,0.55,0,1.09,8.2,0,0,9.84,11.48
