stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,212.49,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,8.17,0,0,0,0,0,0,0,0,0
72hpf,237.49,0,0,0,1.07,6.42,0,1.07,0,0,0,0,0,0,1.07,10.7,1.07,7.49,0,1.07,0,0,144.42,18.19,0,8.56,0,0,2.14,0,0,0,0
21Day,234.24,1.34,1.34,8.03,0,5.35,0,1.34,0,0,0,0,0,0,1.34,6.69,1.34,16.06,0,0,2.68,0,60.23,9.37,0,4.02,6.69,0,0,2.68,1.34,0,1.34
3Month,5.12,0.32,0,3.2,0,0,0.64,0.32,0.64,1.28,0,2.56,0.32,0.96,0,0.64,0.96,44.47,14.4,0,10.88,0.64,0,0,0,0,0,1.6,0,0,0,0.96,0.96
22Month,1.64,0.55,0,1.64,0,0,0,0,0,2.73,1.09,15.85,3.28,2.73,0,0,0.55,33.35,0.55,0,2.73,0,1.09,0,0.55,0,0,0.55,0.55,0,0,0,0.55
