stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell
24hpf,36.78,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0
72hpf,6.42,1.07,0,0,0,0,0,2.14,1.07,0,4.28,0,1.07,0,1.07,0
21Day,14.72,5.35,1.34,1.34,0,0,1.34,0,1.34,1.34,8.03,1.34,0,0,1.34,0
3Month,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0.32
22Month,0,0,0,0,1.09,0.55,0,0,0,0.55,0,0,0,0.55,0,0
