stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,1.07,2.14,0,1.07,0,2.14,1.07,0,1.07,0
21Day,0,1.34,5.35,0,1.34,0,0,0,0,2.68,1.34,1.34,8.03,0,0,0,1.34,0,0,0,0
3Month,0.32,0.64,4.16,0,0,0.96,0.32,2.24,0.32,0,3.84,0.32,2.24,0.96,0.32,0,0.64,0,0.32,0,1.28
22Month,0.55,3.28,4.37,0.55,0,2.19,1.64,31.16,0,0,18.04,0,0,0.55,0.55,0.55,0,0,0.55,0.55,0
