stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Spermatocyte
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0,0,8.17,0,0,0,0
72hpf,3.21,0,0,3.21,3.21,0,1.07,0,1.07,0,0,1.07,3.21,0,12.84,0,2.14,2.14,358.38,19.26,0,33.16,0,0,0,0
21Day,2.68,0,1.34,2.68,4.02,0,0,1.34,0,1.34,0,0,0,2.68,42.83,0,0,5.35,93.7,8.03,2.68,18.74,1.34,0,2.68,0
3Month,0,0.64,0,0.64,0,0,0,0,0.32,0.96,0.32,0,0,1.6,8.96,0.32,0,0,1.28,0,0,1.92,0.32,0.64,0,0.32
22Month,0,0.55,0,3.83,0,0.55,0,0,0.55,6.56,0.55,0,0,0,8.75,0,0,1.09,0.55,0,0,0,0,0,0,0
