stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,12.26,4.09,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,2.14,0,3.21,0,0,0,1.07,5.35,1.07,0,0,0,0
21Day,0,0,2.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0
3Month,0,0,1.92,0,0,2.56,1.28,0.32,0.64,0.32,0.32,0.96,0.64,0.32,0.32,0,0,0,0,1.28,1.92,0.32
22Month,0,0,0.55,0.55,0.55,4.92,0,0.55,0.55,0,1.09,0.55,0,0,0,0.55,0,0,0,0,0,1.64
