stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,167.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,205.4,0,2.14,1.07,0,0,0,0,0,0,0,2.14,0,0,10.7,0,9.63,0,14.98,4.28,0,0,4.28,0,0,2.14,0,0,0,0,0
21Day,278.41,0,13.39,2.68,0,0,0,5.35,0,4.02,0,0,4.02,1.34,65.59,0,48.19,1.34,12.05,5.35,0,2.68,9.37,10.71,0,1.34,1.34,8.03,0,0,1.34
3Month,7.68,0.64,0.96,0,0.32,0.96,0,4.16,0.64,0,0.32,0,0.64,0,11.84,1.28,16.64,0.32,0,0,0.32,0.32,0.64,0,0.96,0,0,0,0.32,3.52,0.32
22Month,1.09,1.09,0.55,0,0,1.09,1.64,2.73,0,0,0.55,0,0,0,6.56,0,6.01,0,0,0,0,0.55,0,0,0.55,0,0,0,0,1.64,0
