stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,0,4.09,0,0,0,0,0,0,4.09,0,0,0,0,0,0,4.09,12.26,0,0,0,0,0,89.9,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,25.67,0,1.07,33.16,4.28,0,0,0,0,0,0,0,0,0,0,7.49,0,23.54,0,0,8.56,0,60.98,28.88,0,1.07,0,33.16,0,0,0,0,0,0,0,0
21Day,5.35,8.03,0,2.68,52.2,1.34,0,0,0,0,0,0,2.68,2.68,1.34,2.68,14.72,0,20.08,0,0,0,0,33.46,8.03,0,2.68,0,2.68,1.34,2.68,0,2.68,0,0,0,0
3Month,0,16,0.32,9.6,23.36,0,0,1.28,2.24,9.6,0,7.36,2.24,0,1.92,0.64,3.52,1.92,3.2,0.32,0,0,1.92,6.4,0.32,0.64,9.6,0,1.92,0.64,15.04,0,0,0,0.64,13.12,3.2
22Month,0,14.76,0.55,20.77,4.92,0,1.09,1.64,3.83,7.65,0,152.52,2.73,1.09,4.37,0,12.57,10.39,4.92,0.55,1.09,0,0,2.73,0,2.19,1.09,0.55,1.09,0,9.29,0.55,0,0.55,0,0,2.73
