stage,Endothelial_cell,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Retinal_cone_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0,12.26,0,8.17,0,0
72hpf,1.07,1.07,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0
21Day,0,5.35,0,0,0,0,0,0,0,1.34,0,0,1.34,1.34,0,1.34,1.34
22Month,1.64,0.55,0.55,2.73,3.83,0.55,0.55,0,0.55,2.73,0.55,0.55,0,0,0,0,0
