stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,7.49,1.07,0,0,0,0,0,0,0,0,2.14,11.77,0,0,0,0,0,3.21,1.07,0,0,0,0,0,0,0,0,0,0
21Day,0,0,50.86,1.34,0,1.34,0,0,0,0,1.34,0,20.08,82.99,4.02,0,0,0,0,33.46,0,0,0,1.34,1.34,1.34,1.34,4.02,0,0,1.34
3Month,0.32,0.32,143.34,0,0.32,0,1.28,2.88,7.36,2.24,0.32,1.92,6.72,2.56,11.84,1.92,0.32,0,2.24,24.32,0,0.32,0,0,0.64,4.8,0,0,0.64,3.52,2.88
22Month,0.55,0.55,63.41,0,0,0,1.64,1.64,26.79,0.55,0,3.83,6.01,1.09,8.2,1.09,1.09,0.55,0,7.65,0,0,0.55,0,0.55,9.29,0,0,0,0,0.55
