stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,4.09,0,0,0,0,0,4.09,93.99,0,0,0,0,4.09,12.26,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.63,3.21,0,0,2.14,0,0,0,0
21Day,2.68,0,0,0,0,0,0,0,0,0,1.34,0,2.68,0,0,4.02,0,0,0,2.68,0,0,0,0
3Month,0,0.32,50.55,0,0.32,0,7.68,0.64,1.92,0,0.96,0,0.32,0,0.32,0,0,0.32,0,0,0.96,0.32,0.32,0.32
22Month,0.55,0.55,18.04,0,0.55,0.55,7.11,0,1.09,0,0,2.19,0,1.64,0,0,0,0.55,0.55,0,0,0,0,0.55
