stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.05,1.07,0,0,0,0,0,0,4.28,1.07,0,0,0,0
21Day,0,1.34,0,4.02,0,1.34,0,0,0,0,1.34,0,1.34,2.68,0,2.68,0,0,1.34,45.51,2.68,0,0,1.34,1.34,1.34,0,5.35,9.37,1.34,0,0,0
3Month,0,0.32,0.32,1.92,0,0,0.32,0.32,0.64,1.92,0.64,0.32,0,0.96,0.96,1.6,0.96,0,0.64,0.64,0,0.64,0,0,0.32,50.55,0,0.32,0,0,0.64,53.43,1.6
22Month,0,0,0,0,0,0,0,0.55,0,7.65,0.55,1.09,0,0.55,0.55,0.55,0,0.55,0,0,0,0,0.55,0.55,0,11.48,0.55,3.28,0,0,0,0,0
