stage,Cardiomyocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,1.07,0,1.07,0,0
21Day,0,0,0,0,2.68,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0
3Month,0,1.92,0.32,0.32,4.48,0.96,0,0,0.64,0.32,0.32,0,0.32,0.32,1.28,0.32,0.32,0.32,0,0,0.32,0.32
22Month,0,0,0,0,0,0,0.55,2.73,0,0,0,0.55,0,0,0.55,0,0,0,0.55,0,0,0
