stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,143.02,0,0,0,0,0,0,0,0,20.43,0,8.17,187.97,0,0,0,4.09,89.9,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,1.07,1.07,0,5.35,0,0,0,0,1.07,0,0,0,12.84,2.14,0,7.49,0,0,0,49.21,6.42,0,0,3.21,1.07,0,0,0,2.14,0,0,0
21Day,0,0,0,2.68,0,1.34,0,0,0,0,0,0,0,1.34,0,14.72,0,0,0,20.08,1.34,0,0,1.34,0,5.35,1.34,1.34,0,0,0,0
3Month,0,0.32,0,9.28,0,0,1.6,0.64,5.44,0.64,0.32,5.76,0.64,1.28,1.28,8,0.32,0.64,0.32,0.96,0,0.64,0.64,0,1.28,54.71,0,0,2.88,0.96,26.88,0.32
22Month,0,0.55,0.55,2.19,1.09,0,0,0,23.51,0.55,0,0.55,0,0,0,9.29,0,0,0,0,0,6.56,0,0,0.55,91.84,1.09,0,0,0,0,0.55
