stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,8.17,0,4.09,0,0,0,0,0,0,0,0,0,0,0,8.17,4.09,151.2,0,0,4.09,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,7.49,0,1.07,2.14,0,0,0,0,0,0,0,0
21Day,0,1.34,0,1.34,0,0,0,0,0,1.34,0,1.34,68.27,0,1.34,1.34,0,0,0,0,0,2.68,0,0
3Month,0,8,0.32,0,0.64,0.32,0,2.88,0.32,0,0.64,0.32,0,0.32,0.32,0,0,0,0.32,0,0.32,0,0,0.32
22Month,0,2.19,0,0,0,0,0.55,6.56,0,0,0.55,0,0,0.55,4.92,0,0,0.55,0,0,0,0,0.55,0
