stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_cone_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,4.09,36.78,0,0,0
72hpf,0,0,0,0,0,1.07,0,2.14,0,0,10.7,6.42,1.07,0,0
21Day,0,4.02,4.02,4.02,2.68,0,1.34,4.02,1.34,1.34,9.37,12.05,0,1.34,1.34
