stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,1.07,0,0,0,2.14,1.07,23.54,2.14,0,1.07,0,0,0,0,0
21Day,0,0,1.34,1.34,0,0,0,0,1.34,22.76,0,0,0,0,1.34,0,0,0
3Month,0,0.64,0.64,0,0.64,1.92,0.32,0,0,0.32,0,0.32,0,4.48,0,0.32,0.64,0.64
22Month,0,0,0,0,1.09,0.55,0,0,0.55,0,0,0,0,3.28,0,0,0,0
