stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,20.43,0,0,0,0,12.26,163.46,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,1.07,2.14,0,0,0,0,0,0,0,0,0,13.91,3.21,0,9.63,0,0,0,2.14,7.49,14.98,0,8.56,0,0,1.07,0,1.07,0,0,0
21Day,0,0,0,4.02,0,0,0,0,0,0,0,0,0,0,1.34,1.34,0,5.35,0,0,0,0,0,5.35,0,1.34,1.34,0,0,0,0,0,0,0
3Month,0.32,0.96,0,14.4,0,0.96,0.32,3.84,0.96,0,150.06,1.92,1.28,55.35,0.32,3.52,1.28,3.84,0.32,0.64,1.28,1.6,0.32,0,0.96,0.32,4.16,8.32,0.32,0,0,0.96,1.6,0.96
22Month,0.55,1.64,1.64,10.39,0,0.55,0.55,2.19,3.83,2.73,166.73,1.64,1.64,32.25,0,0.55,1.09,4.92,0.55,4.37,1.64,0,0,0.55,1.09,0.55,0.55,4.37,0,0.55,0,0,0,1.09
