stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,4.09,0,16.35,0,0,0,0,0,0,0,0,8.17,0,0,0,4.09,0,0,0,0,0
72hpf,1.07,1.07,6.42,1.07,0,0,0,0,0,1.07,2.14,9.63,0,0,1.07,4.28,5.35,0,3.21,0,0
21Day,0,5.35,13.39,1.34,0,0,0,0,0,0,4.02,10.71,0,2.68,0,0,2.68,1.34,0,1.34,0
3Month,0,0.64,0.64,0,0,0.32,0.64,0.64,0,0,0.64,1.28,0.32,0,0,0.64,0,0.32,0,1.28,0
22Month,0,0.55,0.55,0,0.55,0,4.92,0,1.09,0,0,0.55,0,0,0,0,0,0,0,0,0.55
