stage,Endothelial_cell,Epithelial_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,T_cell
72hpf,1.07,0,1.07,0,1.07,0,66.33,4.28,2.14,0,0,0,0,0,0
21Day,0,1.34,0,4.02,2.68,0,28.11,2.68,0,2.68,0,1.34,1.34,1.34,1.34
3Month,0,0,0,0,0,0.32,0,0,0,0,0.32,0,0,0,0
