stage,Cardiomyocyte,Epithelial_cell,Goblet_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Retinal_cone_cell,Spermatocyte
24hpf,4.09,0,0,0,0,4.09,0,0,4.09,4.09,0,0,0
72hpf,0,1.07,0,0,0,3.21,1.07,0,3.21,0,3.21,0,0
21Day,0,5.35,0,0,1.34,1.34,0,1.34,4.02,2.68,1.34,2.68,0
3Month,0,0.32,0.32,0.32,0,0,0,0,0,0,0,0,0.64
