stage,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell
72hpf,0,0,0,1.07,1.07,0,0
21Day,0,1.34,1.34,4.02,1.34,1.34,0
3Month,1.28,0,0.32,0,0,0,0.32
