stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,4.09,0,4.09,0,0,8.17,0,0,85.81,0,0,0,0,0,8.17,4.09,0,0,0,0,49.04,0,0,0,0,0,0,0,0
72hpf,0,0,0,12.84,0,0,0,0,0,0,0,0,0,0,3.21,0,1.07,0,0,0,5.35,8.56,0,0,3.21,0,0,1.07,0,0
21Day,2.68,0,0,84.33,2.68,0,2.68,16.06,0,0,0,0,0,0,5.35,4.02,2.68,0,1.34,0,2.68,2.68,0,0,2.68,4.02,0,2.68,0,1.34
3Month,0,0.32,1.28,78.39,0,0.32,0,237.72,1.92,0,12.8,2.24,5.44,0.64,2.24,1.6,1.28,0.64,0.96,0.64,0.96,0.32,0.32,0.32,0.32,0.64,11.2,0,10.24,0.64
22Month,0,0,1.64,11.48,0,0,0,91.29,0.55,0,8.75,1.64,7.11,0,0.55,0,1.64,0,0,0,0,0,1.09,0,0,0,3.28,0,0,0
