stage,Endothelial_cell,Epithelial_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Retinal_pigment_epithelial_cell
24hpf,0,0,4.09,0,24.52,0,0
72hpf,1.07,1.07,0,1.07,3.21,0,1.07
21Day,0,1.34,1.34,1.34,0,1.34,0
