stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,8.17,0,0,0,0,28.6,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,1.07,0,0,1.07,0,0,1.07,0,2.14,0,0,0,0,1.07,0,0
21Day,2.68,0,5.35,1.34,0,0,0,0,0,0,0,2.68,0,2.68,0,0,0,5.35,1.34,0,0,1.34,0,0,0,0
3Month,0.32,0.32,4.16,0,0.32,0.64,1.92,0.32,0.32,1.28,0.96,1.6,0.32,0.64,0.32,0,0,0.32,0,0.32,0.32,0,6.4,0,20.8,0
22Month,0,0.55,1.09,0,0,1.09,2.19,0.55,0,0.55,0,0,0,0,0,0.55,0,0,0,0,0,0.55,1.09,0,0.55,0.55
