stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,6.42,2.14,1.07,0,0,3.21,0,0,0,0
21Day,0,0,0,1.34,0,0,0,0,0,2.68,0,0,5.35,0,0,0,0,1.34,8.03,1.34,0,0
3Month,0.96,0.32,0,4.8,0.64,0.32,0.64,0,0.32,0,0,0.64,0,0,0,0,0.32,0,0,0,0.32,0.32
22Month,0,0.55,0.55,14.76,1.09,0,2.73,0.55,1.09,2.19,0.55,0,0,0,0,0.55,0,1.09,0,0,0,0
