stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.47,0,0,0,0,0,0,8.17,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,87.72,0,2.14,1.07,0,0,5.35,1.07,0,0,0,0,0,0
21Day,0,0,0,0,0,1.34,0,0,0,0,4.02,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,1.34,0
3Month,0.32,0.96,0,3.2,0.32,0,2.24,0.32,1.6,1.6,190.69,2.24,0.32,6.72,1.28,2.24,0.64,1.28,0.32,0.96,2.56,0.32,0,0.64,0.32,1.92,1.28,0,0.64
22Month,0.55,0,0.55,0,0,0,1.09,0,1.64,1.64,138.3,0,0.55,2.19,0,2.19,0.55,1.09,2.73,0,0.55,0,0,0,0,0.55,0,0,0
