stage,Cardiomyocyte,Epithelial_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia
24hpf,8.17,4.09,8.17,0,0,12.26,81.73,4.09,0,0
72hpf,0,1.07,0,0,1.07,2.14,6.42,3.21,0,0
21Day,0,0,0,1.34,9.37,0,2.68,2.68,1.34,1.34
