stage,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,4.09,0,0,0,12.26,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,17.12,2.14,0,0,1.07,0,3.21,0
21Day,6.69,0,0,0,0,0,0,0,0,0,0,0,0,2.68,0,0,0,0,0,0,1.34
3Month,0.64,0.32,0,0,0.32,0,0,0.32,0.64,0.32,1.28,0,0,0.32,0,0.32,0,0,1.28,0,0.96
22Month,3.83,0.55,0.55,0.55,16.95,0.55,2.19,0,1.09,0,1.64,0.55,1.09,0.55,0,0,0.55,0,0.55,0,0
