stage,Cardiomyocyte,Epithelial_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,4.09,0,0,16.35,0,0,0,0
72hpf,0,0,5.35,2.14,0,1.07,1.07,0
21Day,2.68,2.68,0,0,1.34,0,0,1.34
