stage,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,11.77,5.35,1.07,0,0,1.07,0
21Day,1.34,1.34,0,0,0,0,0,0,0,0,0,0,2.68,0,0,2.68,1.34,1.34,0,0,0,0
3Month,2.56,0,0.32,0.96,0.64,3.2,0.96,0,0.96,0.32,0.32,1.6,0.96,0.32,0.32,0.64,0,0,0.32,0.32,0.32,0.64
22Month,0,0,0,0,0,3.28,0.55,0.55,0.55,0,0,1.09,0.55,0,0,0,0,0,0,0,0.55,0
