stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,20.43,0,0,0,0,0,0,0,0
72hpf,2.14,0,2.14,0,0,0,0,0,0,0,0,2.14,0,0,2.14,4.28,0,0,0,0,3.21,0,0,0
21Day,1.34,0,9.37,0,0,0,0,0,0,0,0,2.68,0,0,0,1.34,0,0,0,0,0,0,0,0
3Month,0,0.32,15.04,0.32,0.32,5.12,1.28,1.6,0.32,15.68,0.64,0.32,0.32,0.32,0,0,0,0.32,0.32,1.92,0,0.64,11.2,0.96
22Month,0,0,0.55,0,0,9.84,0,0.55,0,2.19,0.55,0.55,0,0,0.55,0.55,1.09,0,0,0,0,0,0,1.09
