stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,16.35,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,12.26,69.47,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,4.28,0,5.35,0,0,0,0,0,0,0,0,4.28,0,13.91,0,1.07,0,425.78,36.37,4.28,0,8.56,0,0,7.49,0,1.07,0,0,0
21Day,2.68,0,8.03,0,2.68,0,0,0,0,0,0,0,0,1.34,0,34.8,0,2.68,0,78.97,6.69,2.68,1.34,14.72,2.68,1.34,0,5.35,1.34,0,0,0
3Month,0,0,0.64,0,0,0,0,0,0.32,6.08,0.64,0.64,0.32,0,0,1.6,0,0,0.32,0,0.32,1.28,0,0,0.32,1.28,0,0,0,0.96,8,0
22Month,0,0,2.19,0.55,0,0.55,0.55,1.09,0,20.23,1.09,0,0,0,1.09,3.83,1.64,0.55,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0.55
