stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,0,0,0,0,0,0,2.14,0,2.14,0,1.07,0,0,54.56,5.35,0,1.07,0,0,0,0,0,0,0
21Day,1.34,1.34,1.34,0,0,0,0,0,0,0,0,1.34,0,0,0,0,53.54,2.68,0,0,1.34,0,2.68,1.34,0,0,0
3Month,0.32,3.52,0,0.32,1.6,3.2,0.64,1.28,0.32,16.96,0.32,0.96,0.32,0,0,0.32,2.88,0,0.32,0,0,3.2,0,0,3.2,2.56,1.28
22Month,0,1.09,0,0,0.55,11.48,1.09,1.09,0,0,0,0,0.55,0,1.09,0,3.83,0,0.55,0,0,2.19,0.55,0,0,0,0.55
