stage,Epithelial_cell,Hepatocyte,Immune_progenitor_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
72hpf,0,0,1.07,1.07,1.07,2.14,1.07
21Day,0,0,0,0,2.68,1.34,0
3Month,0.96,0.32,0,0.32,0,0,0
