stage,Endothelial_cell,Erythrocyte__Liver_,Granulosa_cell,Immune_cell,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Radial_glia
24hpf,0,0,0,0,0,4.09,0,0,0,8.17,0,0,0
72hpf,0,0,0,0,0,1.07,0,0,6.42,0,0,0,1.07
21Day,0,0,0,0,0,1.34,0,1.34,21.42,2.68,0,0,0
22Month,1.09,0.55,0.55,0.55,0.55,0,0.55,0,3.28,0,4.92,0.55,1.09
