stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,5.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.64,3.84,1.6,1295.47,0.32,0.64,1.6,10.88,0,26.24,10.24,0.32,16.64,18.88,685.01,8.64,10.88,1.92,0.64,2.88,2.24,1.28,1.28,0.96,0.32,0.64,7.04,9.28,1.28,0.32,0.32,5.12,10.56,8.96
22Month,0,0.55,1.64,249.27,1.09,6.56,1.09,1.64,0.55,22.41,1.09,1.09,4.37,7.65,61.23,8.75,3.28,0.55,0,1.09,0.55,4.92,1.64,1.64,0,1.09,1.09,3.28,0,0.55,0,0,0,1.64
