stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,49.04,24.52,0,1867.49,4.09,0,0,0,0,0,16.35,0,0,0,0,93.99,10927.05,40.86,126.68,0,0,0,16.35,32.69,931.7,0,0,0,12.26,0,0,0,0,8.17,0,0,0
72hpf,51.35,4.28,0,273.87,10.7,65.26,0,0,3.21,0,0,1.07,0,1.07,0,14.98,7443.61,5.35,78.09,0,2.14,1.07,0,360.52,174.38,0,2.14,0,74.89,0,1.07,25.67,1.07,2.14,0,0,0
21Day,4.02,0,0,210.15,0,1.34,0,0,1.34,0,0,1.34,0,2.68,0,1.34,76.3,2.68,12.05,0,0,4.02,0,5.35,6.69,0,0,0,4.02,1.34,5.35,0,0,0,0,0,1.34
3Month,0.32,0.32,0,22.08,0.64,0,0.32,0.96,7.04,0,0,7.68,118.06,0.32,2.56,0.64,2.88,1.6,2.88,0.96,0,23.36,0.32,2.56,0,0.96,0,0,0.96,1.28,72.95,0.64,0,0,0.64,19.52,2.24
22Month,0.55,0.55,0.55,4.92,2.19,0,0,0.55,0.55,2.19,0,10.93,3.83,0,3.83,1.09,1.09,2.19,3.83,0.55,0.55,15.31,0,0,0,0,0.55,1.64,0,0.55,84.18,0,0,0,0,0,0
