stage,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0,0,0
21Day,0,2.68,0,0,0,0,0,0,4.02,2.68,0,0,0,0,0,0,0
3Month,0,6.08,3.2,0,3.52,0,0.32,1.28,0.96,4.16,0.32,0.32,0.32,0,2.24,0,0.64
22Month,0.55,2.19,0,1.09,18.04,0.55,0.55,0.55,0,1.64,2.19,0,0.55,0,0,0.55,0
