stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,4.28,0,0,0,0,0,0,0
21Day,0,1.34,0,0,0,0,0,0,1.34,6.69,1.34,1.34,0,1.34,1.34,0,0
3Month,0,0.96,0,1.92,0,0,0.32,0.32,0,0,0,0.96,0.64,0,0,0.32,1.28
22Month,0,1.09,0.55,3.83,0.55,1.09,0,0.55,0,0.55,0,0,0,0,0,0,0
