stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,24.61,0,0,0,0,0,0,7.49,0,0,1.07,0,54.56,2.14,0,0,0,1.07,0,0,0,1.07,0,0,0
21Day,6.69,0,0,1.34,17.4,0,0,0,0,0,1.34,10.71,0,1.34,1.34,0,17.4,4.02,0,0,0,0,1.34,12.05,0,0,0,1.34,0
3Month,0.32,0.32,0.64,3.2,3.84,0.96,0.96,5.12,1.92,0.96,0.32,0.64,0.96,1.6,0,0.32,1.6,0.32,0.32,1.28,0,0,0.64,106.54,0.32,0,0.64,43.19,0.96
22Month,0,1.09,0,0,1.09,0,0.55,7.65,0.55,1.09,0,0,0,2.19,0,0,1.09,0,0,1.09,1.64,0,0.55,27.33,0,0,0,0.55,0
