stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,T_cell
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,0,3.21,0,1.07,0,0,0,0,3.21,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,28.11,0,0,0,0,0,0,13.39,0,1.34,6.69,0,9.37,0,0,0,0,1.34,1.34,0,0,0,1.34,1.34,0,0,0,0,24.09
3Month,0,0.32,15.36,0.32,0.32,0,0,5.44,0.96,0.64,0.96,0,3.52,0.32,2.56,0.32,0,0.32,0.32,0.32,0.32,0,0,0,0,0,2.56,0.32,0,0.32,3.52
22Month,0.55,1.09,6.56,0.55,0,3.28,6.56,30.07,2.19,1.09,1.64,0,0,1.09,2.19,0,1.09,0,0,0,0,0.55,0.55,0.55,0,0,1.09,0,0.55,0,3.83
