stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,28.6,4.09,0,4.09,0,0,0,0,0,8.17,0,0,0,0,0,0,4.09,28.6,0,0,0,4.09,523.06,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,3.21,0,1.07,3.21,1.07,0,0,0,0,0,0,0,0,5.35,1.07,0,11.77,2.14,2.14,0,7.49,47.07,0,0,109.12,0,2.14,0,0,0,0,0
21Day,6.69,0,1.34,4.02,0,2.68,0,1.34,0,0,0,0,1.34,0,0,2.68,1.34,2.68,0,1.34,0,1.34,13.39,2.68,0,10.71,0,9.37,1.34,1.34,0,0,0
3Month,1.92,0.64,0.32,19.52,0,0,0.32,7.68,1.28,0,13.12,1.92,0.32,2.24,0.96,1.92,4.8,8.64,0,1.28,0.64,0,1.28,6.08,0,0.64,2.88,119.98,0.32,0.96,0.96,46.39,1.28
22Month,0,1.09,1.64,1.09,0,0,0.55,8.2,1.64,0,10.93,0,0,5.47,0,0,0,1.64,1.64,0.55,0,0,0.55,4.37,0.55,2.73,0.55,43.19,0.55,0,0,0,0
