stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,16.35,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,1.07,0,1.07,0,0,0,0,0,0,0,0,0,3.21,1.07,2.14,0,1.07,0,31.02,3.21,3.21,0,1.07,0,0,1.07,0,0,0,0
21Day,0,1.34,2.68,9.37,0,0,0,0,0,0,1.34,0,2.68,0,0,0,1.34,6.69,0,2.68,0,21.42,12.05,143.22,0,14.72,0,1.34,0,1.34,0,0,0
3Month,0,0.96,0.96,11.52,0.32,0,0.64,0.96,0.32,3.52,8.96,3.52,1.28,4.48,1.28,1.6,7.04,6.08,0.96,1.92,2.56,0.64,0,0.96,0.64,0.96,0.96,50.23,0,0.32,1.92,92.47,10.24
22Month,0,1.09,0,4.37,0,0,0,0,0,3.28,21.32,0,2.19,1.64,0.55,0,3.83,6.01,0.55,0.55,0,1.09,0,5.47,0,0,0.55,20.23,0,0,0,0.55,2.73
