stage,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,1.07,0,1.07,0,0,0,6.42,0,0,2.14,0,2.14,0
21Day,0,1.34,2.68,0,0,0,0,0,0,0,0,6.69,0,0,1.34,0,0,0,8.03,1.34,0,1.34,0,1.34,0
3Month,0,0,0,0,0,0.32,0,1.92,0.32,0,0.96,0.64,0,0,0,0,0,0.32,0,0,0,0,0.32,0,0
22Month,0.55,2.73,0,0.55,1.09,3.83,1.64,15.85,0,0.55,2.73,0.55,0,1.09,1.64,0.55,0.55,0,0.55,0,0.55,0,0,0,0.55
