stage,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,4.09,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,0,0,0,0,0,9.63,2.14,0,0,0,0,4.28,1.07,0,0,0,0
21Day,0,1.34,0,0,0,10.71,0,0,0,1.34,0,1.34,0,0,0,0,0
3Month,4.48,0,0.64,0.32,0.96,11.2,0,0.64,0.64,0,0.32,0.32,0.32,0,2.56,0.32,0.32
22Month,0,0,0,1.64,0,0.55,0,0,0,0,0,0,0,0,0,0,0
