stage,Epithelial_cell,Hepatocyte,Immune_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,T_cell
24hpf,0,0,0,0,0,0,0,12.26,0,4.09,0
21Day,4.02,0,0,0,0,0,0,0,0,0,0
3Month,1.6,1.6,0.96,0.64,0.32,0.32,0.64,0,0.32,0,0
22Month,0,0.55,0,0,0,0.55,0,0,0,0,0.55
