stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
24hpf,8.17,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,1.07,0,1.07,0,0,0,0,0,0,0,0,2.14,0,0,0,9.63,1.07,0,0,0,0,0,0,0
21Day,4.02,0,1.34,0,0,1.34,0,0,0,2.68,0,2.68,0,0,0,0,0,0,0,0,0,1.34,0,0
3Month,0,0.64,2.24,0.32,0.32,42.55,0.32,1.28,0.32,1.28,1.6,4.16,0.64,1.28,0.32,0,0,1.28,0,0.32,0.96,0,2.24,1.92
22Month,0,0.55,0,0,0,7.11,0.55,1.09,0,0.55,0.55,1.09,1.09,0,0,0,0,0,1.09,0,0,0,0,0
