stage,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Smooth_muscle_cell,Spermatocyte
24hpf,4.09,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0
72hpf,0,2.14,0,0,0,0,0,0,2.14,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,2.68,0,0,0,0,0,0
3Month,0.32,0,0,0.32,0,0.32,0,0.32,0,0,0.32,0,0.64,0.96,0.32
22Month,0,0,1.09,4.92,0.55,0,0.55,0,0,0,0,0.55,0,0,0
