stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,4.09,12.26,0,4.09,4.09,0,0,0,0,0
72hpf,0,3.21,0,0,0,13.91,0,2.14,1.07,19.26,0,2.14,0,0
21Day,6.69,5.35,5.35,0,0,20.08,4.02,1.34,4.02,1.34,0,1.34,1.34,0
3Month,0,1.6,0,0.32,0,0,0.32,0,0,0,0.32,0,0,0.32
22Month,0,0,0,0,0,1.64,0,0,0,0,0,2.19,0,0
