stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,12.26,0,0,0,0,0,0,0,0,20.43,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,6.42,0,0,1.07,0,0,0,0,0,0,0,0,7.49,1.07,0,0,0,2.14,0,3.21,10.7,12.84,4.28,1.07,0,0,6.42,0,0,2.14,0,0,0,0,0
21Day,1.34,0,0,13.39,4.02,0,0,1.34,1.34,0,0,1.34,0,0,0,12.05,1.34,0,8.03,0,1.34,0,1.34,13.39,0,4.02,1.34,0,1.34,137.87,0,1.34,5.35,0,1.34,0,0,1.34
3Month,0.64,1.6,2.56,154.86,0,1.28,0,18.24,1.28,0.32,0,263.32,3.84,0,13.12,25.6,3.84,5.12,3.2,1.6,0.64,6.4,37.75,0.64,0.32,17.92,2.88,0,0,135.66,0.32,83.51,0.96,0,0,2.88,24.64,3.2
22Month,0.55,6.56,5.47,256.38,0,4.37,0.55,10.39,6.56,1.64,0,1075.27,1.64,1.64,20.77,11.48,1.64,6.56,8.2,0,17.49,4.37,2.19,0.55,0.55,28.97,0,2.73,1.09,45.37,0,33.89,0,1.64,0,0,0,0.55
