stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,16.35,0,0,8.17,0,0,0,0,0,0,0,0,0,0,8.17,4.09,4.09,0,0,0,0,12.26,89.9,0,0,0,0,0,0,0,0,0,0,0
72hpf,23.54,7.49,0,20.33,3.21,21.4,1.07,0,0,0,0,2.14,0,11.77,49.21,3.21,59.91,0,1.07,2.14,1.07,307.03,154.05,0,1.07,66.33,0,26.74,2.14,1.07,4.28,0,0,0
21Day,33.46,2.68,5.35,48.19,1.34,37.48,2.68,4.02,0,14.72,0,17.4,9.37,6.69,38.82,5.35,120.47,0,0,14.72,0,81.65,91.02,2.68,2.68,26.77,13.39,10.71,2.68,13.39,4.02,0,0,2.68
3Month,0,0,0,1.6,0,0,0,0.32,0.32,0,0,0,0.32,0,1.28,0,4.8,1.28,0,0,0,0,0.64,0,0,0.32,0,0,0,0,0.32,0.32,0.32,0
22Month,0,0,0,1.09,0,0,0,0,0,8.2,0.55,0.55,0.55,0,0.55,0,1.64,0,0.55,0,0,0.55,0,0,0,0,0,0.55,0,0,0.55,0,0,0
