stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,0,12.26,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,69.47,0,4.09,0,0,0
72hpf,1.07,0,1.07,1.07,1.07,0,0,0,0,0,0,0,0,0,2.14,0,22.47,8.56,0,7.49,0,2.14,0
21Day,5.35,1.34,6.69,0,1.34,0,0,2.68,1.34,0,1.34,0,1.34,8.03,1.34,0,21.42,10.71,1.34,1.34,0,0,0
3Month,0,0,1.92,0,0,0.32,0.32,0.32,0,0.32,0,0.96,0,0,0,0.32,0.32,0,0,0,0.32,0,0.64
