stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,2.14,0,0,0,0,0,0,0,0,0,3.21,0,0,0,0,0,0,3.21,0,1.07,0,0,0,0,1.07,0,0,0,0,0
21Day,0,0,5.35,0,0,0,0,0,0,0,0,0,5.35,1.34,0,0,0,0,0,2.68,1.34,0,0,0,0,0,8.03,0,0,0,0,0
3Month,2.88,2.24,53.43,0.96,2.56,5.76,0,50.87,9.28,0.64,13.12,4.48,8.64,7.36,9.28,1.28,0.96,3.2,2.88,0.32,0,2.56,0.96,0,0.32,6.72,332.43,0.64,0.32,3.52,2006.4,7.36
22Month,0.55,0.55,13.67,0,0,1.09,1.09,29.52,2.19,0,10.39,0,0.55,1.64,1.64,0,0.55,0,0,1.09,0,1.64,0,23.51,0,1.09,153.06,0,0,0,9.29,0
