stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Fibroblast,Granulocyte,Hepatocyte,Immune_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,T_cell
24hpf,0,0,12.26,0,0,0,0,0,0,12.26,4.09,0,0,4.09,4.09,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,2.14,0,0,0,0,12.84,3.21,0,0,0,1.07,2.14,0,0
21Day,1.34,0,1.34,1.34,0,0,0,0,0,1.34,1.34,0,0,5.35,0,0,1.34,0,0,28.11,124.48,1.34
3Month,0,0,1.28,0,0,0.32,0.64,0.64,0,0.64,0.64,0,0.32,0.32,0,0.32,0,0,0,0,0,0.32
22Month,0,0.55,0,0,0.55,0,8.75,1.09,0.55,1.09,1.64,0.55,0,0,0,0,0,1.09,0,0,0,0.55
