stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0
72hpf,1.07,2.14,0,1.07,0,0,0,0,1.07,0,0,11.77,0,0,0,0,1.07,0
21Day,0,1.34,2.68,2.68,0,0,0,0,0,1.34,1.34,5.35,0,2.68,1.34,0,1.34,0
3Month,0,0,0,0,0.32,0.32,0.32,0.32,0,0,0,0,0,0,0,0,0,0.32
22Month,0,0,0,0,0,0,3.28,0.55,0,0,0,0,0,0,0,0.55,0,0.55
