stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,73.56,0,8.17,0,0,0,0,0,8.17,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,6.42,4.28,0,0,0,0,0,1.07,17.12,4.28,0,0,0,0,0,29.95,1.07,0,1.07,0,0,0
21Day,1.34,1.34,0,5.35,5.35,2.68,0,0,0,0,0,0,0,0,0,0,4.02,1.34,4.02,0,0,0,0,4.02,1.34,0,0,0,1.34,5.35,104.41,2.68,0,2.68,0,1.34,0
3Month,0.96,4.16,1.92,43.83,0.32,0,2.24,0.32,0.32,6.72,16.64,68.79,18.56,2.24,23.36,2.56,16,17.92,11.84,3.2,1.28,2.56,18.88,3.2,1.92,1.92,2.56,0,0.32,19.2,2916.98,3.52,0.64,0,11.84,320.59,12.48
22Month,0.55,1.09,1.09,1.09,0,0,0,0.55,0,1.09,2.73,42.09,1.09,0.55,8.75,0,1.09,2.19,3.28,0,1.64,0.55,0,0.55,0,0.55,0.55,9.29,1.09,2.19,536.81,1.64,0,0,0.55,0.55,1.64
