stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,17.12,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,2.68,0,0,0,0,0,0,0,0,0,8.03,0,0,0,1.34,0,0,0,0,0,0,0,0
3Month,0,1.6,36.47,0,0,5.12,0.32,0,18.56,0,21.44,2.56,1.6,2.88,0.32,0,2.24,1.6,0.96,0,0.96,0.96,0.32,0.64,0.32
22Month,0.55,2.73,10.93,0,1.09,1.64,1.09,1.64,25.15,1.09,51.93,1.09,0,1.09,0.55,1.09,0.55,0,1.09,0.55,0,0,0,0,2.73
