stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,1.07,0,1.07,0,0,1.07,0,0,0,4.28,0,0,0,0,0,0,0,0,1.07,0,0,0
21Day,0,1.34,1.34,4.02,4.02,0,0,0,2.68,0,0,17.4,0,0,5.35,5.35,1.34,0,0,0,5.35,0,2.68,0,2.68,4.02,0,0,0,2.68,0,0,53.54
3Month,0,0,5.12,1.6,0,0.96,0.32,1.28,3.2,5.76,2.88,4.8,0.64,0.32,1.6,9.28,4.48,0.64,0.64,0.32,0.32,0.32,2.56,0.32,0,2.24,7.04,0.32,0,0,0.64,2.56,148.46
22Month,0.55,0,2.73,1.09,0,0.55,0,0.55,3.83,7.65,2.19,1.09,1.09,0,0.55,8.75,4.92,0,0.55,0,0.55,0,2.19,0,0,0.55,2.73,0,1.09,0,0,0,36.63
