stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,8.17,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,16.35,0,0,0,0,0,0,0
72hpf,1.07,0,0,1.07,0,0,0,0,0,0,0,1.07,2.14,0,19.26,1.07,0,0,0,1.07,0,0,0
21Day,2.68,1.34,0,0,1.34,0,0,0,0,0,0,0,4.02,0,8.03,0,0,1.34,2.68,0,0,0,0
3Month,0,0,1.28,0,0,0.32,0.32,0,0.32,0.32,0.32,0.96,0.32,0.32,0,0,0.64,0,0.32,4.8,0.32,0.32,13.12
22Month,0.55,0,0,0,0,0,0,0.55,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
